Nama;NIK;Jenis Kelamin;Alamat;Divisi;Jabatan
Karyawan 10339;1000010339;Laki-laki;Depok;Finance;Supervisor
Karyawan 10340;1000010340;Perempuan;Jakarta;Marketing;Supervisor
Karyawan 10341;1000010341;Perempuan;Bekasi;Operations;Senior Manager
Karyawan 10342;1000010342;Perempuan;Jakarta;HR;Senior Manager
Karyawan 10343;1000010343;Perempuan;Tangerang;HR;Senior Manager
Karyawan 10344;1000010344;Perempuan;Depok;Marketing;Manager
Karyawan 10345;1000010345;Perempuan;Depok;IT;Staff
Karyawan 10346;1000010346;Perempuan;Depok;Finance;Director
Karyawan 10347;1000010347;Perempuan;Tangerang;Marketing;Staff
Karyawan 10348;1000010348;Perempuan;Depok;HR;Supervisor
Karyawan 10349;1000010349;Perempuan;Depok;Finance;Manager
Karyawan 10350;1000010350;Perempuan;Bogor;Finance;Director
Karyawan 10351;1000010351;Perempuan;Bekasi;HR;Staff
Karyawan 10352;1000010352;Laki-laki;Bekasi;Operations;Director
Karyawan 10353;1000010353;Laki-laki;Bogor;HR;Senior Manager
Karyawan 10354;1000010354;Laki-laki;Depok;Finance;Director
Karyawan 10355;1000010355;Laki-laki;Depok;Finance;Manager
Karyawan 10356;1000010356;Perempuan;Depok;Operations;Staff
Karyawan 10357;1000010357;Perempuan;Bekasi;HR;Director
Karyawan 10358;1000010358;Laki-laki;Tangerang;IT;Senior Manager
Karyawan 10359;1000010359;Perempuan;Depok;HR;Staff
Karyawan 10360;1000010360;Laki-laki;Bogor;HR;Manager
Karyawan 10361;1000010361;Laki-laki;Jakarta;Operations;Senior Manager
Karyawan 10362;1000010362;Perempuan;Tangerang;Marketing;Manager
Karyawan 10363;1000010363;Perempuan;Bogor;HR;Manager
Karyawan 10364;1000010364;Perempuan;Tangerang;HR;Manager
Karyawan 10365;1000010365;Laki-laki;Jakarta;Finance;Manager
Karyawan 10366;1000010366;Perempuan;Tangerang;Operations;Manager
Karyawan 10367;1000010367;Laki-laki;Tangerang;Finance;Staff
Karyawan 10368;1000010368;Laki-laki;Tangerang;Finance;Director
Karyawan 10369;1000010369;Perempuan;Bogor;IT;Manager
Karyawan 10370;1000010370;Perempuan;Bekasi;IT;Director
Karyawan 10371;1000010371;Perempuan;Tangerang;Finance;Supervisor
Karyawan 10372;1000010372;Perempuan;Tangerang;HR;Senior Manager
Karyawan 10373;1000010373;Laki-laki;Bekasi;Marketing;Manager
Karyawan 10374;1000010374;Laki-laki;Tangerang;IT;Supervisor
Karyawan 10375;1000010375;Perempuan;Tangerang;IT;Senior Manager
Karyawan 10376;1000010376;Laki-laki;Tangerang;Operations;Manager
Karyawan 10377;1000010377;Laki-laki;Tangerang;Finance;Director
Karyawan 10378;1000010378;Perempuan;Bogor;Marketing;Staff
Karyawan 10379;1000010379;Laki-laki;Tangerang;Finance;Supervisor
Karyawan 10380;1000010380;Perempuan;Jakarta;HR;Director
Karyawan 10381;1000010381;Laki-laki;Tangerang;Marketing;Senior Manager
Karyawan 10382;1000010382;Perempuan;Jakarta;Operations;Manager
Karyawan 10383;1000010383;Perempuan;Bekasi;HR;Manager
Karyawan 10384;1000010384;Perempuan;Depok;HR;Supervisor
Karyawan 10385;1000010385;Laki-laki;Depok;Finance;Senior Manager
Karyawan 10386;1000010386;Perempuan;Tangerang;IT;Staff
Karyawan 10387;1000010387;Perempuan;Bogor;Finance;Staff
Karyawan 10388;1000010388;Laki-laki;Tangerang;Operations;Supervisor
Karyawan 10389;1000010389;Laki-laki;Jakarta;HR;Senior Manager
Karyawan 10390;1000010390;Perempuan;Bogor;IT;Senior Manager
Karyawan 10391;1000010391;Laki-laki;Jakarta;IT;Director
Karyawan 10392;1000010392;Laki-laki;Tangerang;IT;Senior Manager
Karyawan 10393;1000010393;Perempuan;Bogor;Operations;Supervisor
Karyawan 10394;1000010394;Laki-laki;Bogor;Marketing;Supervisor
Karyawan 10395;1000010395;Laki-laki;Tangerang;HR;Director
Karyawan 10396;1000010396;Laki-laki;Depok;Finance;Staff
Karyawan 10397;1000010397;Laki-laki;Tangerang;HR;Director
Karyawan 10398;1000010398;Laki-laki;Depok;Operations;Staff
Karyawan 10399;1000010399;Laki-laki;Bogor;Finance;Director
Karyawan 10400;1000010400;Perempuan;Bekasi;IT;Director
Karyawan 10401;1000010401;Perempuan;Bogor;IT;Director
Karyawan 10402;1000010402;Laki-laki;Bekasi;Operations;Director
Karyawan 10403;1000010403;Laki-laki;Tangerang;Operations;Manager
Karyawan 10404;1000010404;Perempuan;Tangerang;Finance;Senior Manager
Karyawan 10405;1000010405;Perempuan;Jakarta;Finance;Manager
Karyawan 10406;1000010406;Laki-laki;Bekasi;Finance;Manager
Karyawan 10407;1000010407;Perempuan;Bogor;Marketing;Director
Karyawan 10408;1000010408;Laki-laki;Bogor;IT;Supervisor
Karyawan 10409;1000010409;Laki-laki;Bogor;Operations;Senior Manager
Karyawan 10410;1000010410;Laki-laki;Depok;Finance;Senior Manager
Karyawan 10411;1000010411;Laki-laki;Bekasi;IT;Manager
Karyawan 10412;1000010412;Laki-laki;Tangerang;Finance;Staff
Karyawan 10413;1000010413;Perempuan;Tangerang;Finance;Supervisor
Karyawan 10414;1000010414;Laki-laki;Tangerang;Finance;Staff
Karyawan 10415;1000010415;Laki-laki;Bogor;HR;Staff
Karyawan 10416;1000010416;Laki-laki;Tangerang;Marketing;Director
Karyawan 10417;1000010417;Perempuan;Bekasi;Finance;Supervisor
Karyawan 10418;1000010418;Laki-laki;Tangerang;HR;Supervisor
Karyawan 10419;1000010419;Perempuan;Jakarta;Marketing;Senior Manager
Karyawan 10420;1000010420;Perempuan;Tangerang;IT;Supervisor
Karyawan 10421;1000010421;Laki-laki;Tangerang;HR;Staff
Karyawan 10422;1000010422;Laki-laki;Jakarta;Operations;Senior Manager
Karyawan 10423;1000010423;Perempuan;Bekasi;HR;Manager
Karyawan 10424;1000010424;Perempuan;Depok;Operations;Manager
Karyawan 10425;1000010425;Perempuan;Bogor;Marketing;Manager
Karyawan 10426;1000010426;Laki-laki;Bekasi;HR;Senior Manager
Karyawan 10427;1000010427;Perempuan;Bekasi;HR;Senior Manager
Karyawan 10428;1000010428;Laki-laki;Depok;Finance;Staff
Karyawan 10429;1000010429;Perempuan;Bekasi;IT;Staff
Karyawan 10430;1000010430;Laki-laki;Bogor;HR;Supervisor
Karyawan 10431;1000010431;Perempuan;Bekasi;Finance;Senior Manager
Karyawan 10432;1000010432;Perempuan;Bekasi;IT;Supervisor
Karyawan 10433;1000010433;Perempuan;Depok;Marketing;Staff
Karyawan 10434;1000010434;Perempuan;Bogor;Operations;Senior Manager
Karyawan 10435;1000010435;Laki-laki;Tangerang;HR;Manager
Karyawan 10436;1000010436;Perempuan;Bekasi;HR;Manager
Karyawan 10437;1000010437;Perempuan;Depok;HR;Senior Manager
Karyawan 10438;1000010438;Laki-laki;Depok;Marketing;Supervisor
Karyawan 10439;1000010439;Laki-laki;Jakarta;Operations;Staff
Karyawan 10440;1000010440;Laki-laki;Bekasi;Operations;Senior Manager
Karyawan 10441;1000010441;Perempuan;Bogor;Operations;Staff
Karyawan 10442;1000010442;Perempuan;Jakarta;IT;Senior Manager
Karyawan 10443;1000010443;Laki-laki;Bogor;Marketing;Manager
Karyawan 10444;1000010444;Laki-laki;Jakarta;HR;Director
Karyawan 10445;1000010445;Laki-laki;Depok;HR;Senior Manager
Karyawan 10446;1000010446;Laki-laki;Depok;Finance;Senior Manager
Karyawan 10447;1000010447;Perempuan;Depok;HR;Manager
Karyawan 10448;1000010448;Perempuan;Jakarta;Operations;Director
Karyawan 10449;1000010449;Perempuan;Bekasi;IT;Supervisor
Karyawan 10450;1000010450;Laki-laki;Jakarta;HR;Director
Karyawan 10451;1000010451;Perempuan;Tangerang;HR;Staff
Karyawan 10452;1000010452;Perempuan;Depok;Operations;Staff
Karyawan 10453;1000010453;Laki-laki;Tangerang;Operations;Supervisor
Karyawan 10454;1000010454;Laki-laki;Bogor;HR;Director
Karyawan 10455;1000010455;Laki-laki;Tangerang;Marketing;Supervisor
Karyawan 10456;1000010456;Perempuan;Tangerang;Marketing;Manager
Karyawan 10457;1000010457;Laki-laki;Depok;Finance;Senior Manager
Karyawan 10458;1000010458;Perempuan;Jakarta;Finance;Staff
Karyawan 10459;1000010459;Laki-laki;Depok;Finance;Manager
Karyawan 10460;1000010460;Laki-laki;Jakarta;Finance;Staff
Karyawan 10461;1000010461;Perempuan;Jakarta;Finance;Senior Manager
Karyawan 10462;1000010462;Laki-laki;Bekasi;Operations;Senior Manager
Karyawan 10463;1000010463;Laki-laki;Tangerang;Marketing;Manager
Karyawan 10464;1000010464;Perempuan;Bekasi;Finance;Supervisor
Karyawan 10465;1000010465;Perempuan;Tangerang;Marketing;Senior Manager
Karyawan 10466;1000010466;Laki-laki;Tangerang;Operations;Senior Manager
Karyawan 10467;1000010467;Perempuan;Depok;Operations;Manager
Karyawan 10468;1000010468;Laki-laki;Depok;Marketing;Senior Manager
Karyawan 10469;1000010469;Laki-laki;Jakarta;IT;Director
Karyawan 10470;1000010470;Laki-laki;Depok;Finance;Senior Manager
Karyawan 10471;1000010471;Perempuan;Bekasi;HR;Manager
Karyawan 10472;1000010472;Perempuan;Depok;IT;Staff
Karyawan 10473;1000010473;Laki-laki;Bekasi;Finance;Manager
Karyawan 10474;1000010474;Laki-laki;Bogor;Marketing;Director
Karyawan 10475;1000010475;Perempuan;Bekasi;Operations;Director
Karyawan 10476;1000010476;Laki-laki;Jakarta;Operations;Staff
Karyawan 10477;1000010477;Perempuan;Jakarta;Operations;Manager
Karyawan 10478;1000010478;Laki-laki;Tangerang;Operations;Staff
Karyawan 10479;1000010479;Perempuan;Bekasi;IT;Senior Manager
Karyawan 10480;1000010480;Laki-laki;Depok;Finance;Senior Manager
Karyawan 10481;1000010481;Laki-laki;Depok;HR;Manager
Karyawan 10482;1000010482;Laki-laki;Depok;IT;Manager
Karyawan 10483;1000010483;Laki-laki;Jakarta;HR;Supervisor
Karyawan 10484;1000010484;Perempuan;Depok;Marketing;Manager
Karyawan 10485;1000010485;Laki-laki;Depok;Finance;Supervisor
Karyawan 10486;1000010486;Perempuan;Tangerang;HR;Senior Manager
Karyawan 10487;1000010487;Perempuan;Tangerang;Finance;Director
Karyawan 10488;1000010488;Laki-laki;Bogor;HR;Director
Karyawan 10489;1000010489;Perempuan;Depok;IT;Supervisor
Karyawan 10490;1000010490;Perempuan;Depok;IT;Staff
Karyawan 10491;1000010491;Perempuan;Depok;Finance;Manager
Karyawan 10492;1000010492;Perempuan;Bogor;Marketing;Senior Manager
Karyawan 10493;1000010493;Perempuan;Jakarta;Finance;Supervisor
Karyawan 10494;1000010494;Perempuan;Depok;HR;Senior Manager
Karyawan 10495;1000010495;Perempuan;Jakarta;IT;Supervisor
Karyawan 10496;1000010496;Perempuan;Bogor;IT;Supervisor
Karyawan 10497;1000010497;Perempuan;Bogor;Marketing;Supervisor
Karyawan 10498;1000010498;Perempuan;Jakarta;Operations;Staff
Karyawan 10499;1000010499;Laki-laki;Tangerang;Marketing;Director
Karyawan 10500;1000010500;Perempuan;Tangerang;IT;Manager
Karyawan 10501;1000010501;Perempuan;Bogor;Finance;Director
Karyawan 10502;1000010502;Perempuan;Bekasi;Marketing;Supervisor
Karyawan 10503;1000010503;Perempuan;Bogor;IT;Director
Karyawan 10504;1000010504;Laki-laki;Tangerang;Marketing;Manager
Karyawan 10505;1000010505;Laki-laki;Bekasi;IT;Senior Manager
Karyawan 10506;1000010506;Laki-laki;Bekasi;Operations;Senior Manager
Karyawan 10507;1000010507;Laki-laki;Tangerang;Operations;Senior Manager
Karyawan 10508;1000010508;Perempuan;Depok;Marketing;Supervisor
Karyawan 10509;1000010509;Laki-laki;Depok;HR;Manager
Karyawan 10510;1000010510;Perempuan;Tangerang;Marketing;Staff
Karyawan 10511;1000010511;Laki-laki;Bekasi;IT;Senior Manager
Karyawan 10512;1000010512;Perempuan;Bekasi;IT;Director
Karyawan 10513;1000010513;Perempuan;Jakarta;Finance;Manager
Karyawan 10514;1000010514;Perempuan;Tangerang;IT;Senior Manager
Karyawan 10515;1000010515;Laki-laki;Bogor;Marketing;Staff
Karyawan 10516;1000010516;Laki-laki;Bogor;Marketing;Supervisor
Karyawan 10517;1000010517;Laki-laki;Tangerang;IT;Supervisor
Karyawan 10518;1000010518;Laki-laki;Depok;Marketing;Senior Manager
Karyawan 10519;1000010519;Laki-laki;Jakarta;HR;Manager
Karyawan 10520;1000010520;Perempuan;Bekasi;Finance;Manager
Karyawan 10521;1000010521;Laki-laki;Jakarta;HR;Supervisor
Karyawan 10522;1000010522;Laki-laki;Depok;HR;Senior Manager
Karyawan 10523;1000010523;Laki-laki;Bekasi;Operations;Manager
Karyawan 10524;1000010524;Perempuan;Bekasi;HR;Manager
Karyawan 10525;1000010525;Laki-laki;Jakarta;Finance;Senior Manager
Karyawan 10526;1000010526;Perempuan;Jakarta;HR;Director
Karyawan 10527;1000010527;Perempuan;Depok;Marketing;Supervisor
Karyawan 10528;1000010528;Laki-laki;Bekasi;Finance;Manager
Karyawan 10529;1000010529;Perempuan;Jakarta;Operations;Staff
Karyawan 10530;1000010530;Laki-laki;Jakarta;HR;Senior Manager
Karyawan 10531;1000010531;Perempuan;Jakarta;Operations;Manager
Karyawan 10532;1000010532;Laki-laki;Tangerang;Finance;Manager
Karyawan 10533;1000010533;Perempuan;Tangerang;Finance;Supervisor
Karyawan 10534;1000010534;Laki-laki;Bekasi;Marketing;Manager
Karyawan 10535;1000010535;Perempuan;Depok;IT;Manager
Karyawan 10536;1000010536;Perempuan;Jakarta;Finance;Senior Manager
Karyawan 10537;1000010537;Perempuan;Bekasi;Operations;Director
Karyawan 10538;1000010538;Perempuan;Bogor;HR;Senior Manager
Karyawan 10539;1000010539;Perempuan;Bogor;Marketing;Staff
Karyawan 10540;1000010540;Perempuan;Bekasi;Marketing;Supervisor
Karyawan 10541;1000010541;Perempuan;Tangerang;Operations;Staff
Karyawan 10542;1000010542;Laki-laki;Bekasi;IT;Supervisor
Karyawan 10543;1000010543;Laki-laki;Tangerang;Operations;Director
Karyawan 10544;1000010544;Perempuan;Bogor;IT;Director
Karyawan 10545;1000010545;Perempuan;Depok;Operations;Director
Karyawan 10546;1000010546;Laki-laki;Bogor;Finance;Director
Karyawan 10547;1000010547;Laki-laki;Bekasi;HR;Staff
Karyawan 10548;1000010548;Laki-laki;Bekasi;IT;Senior Manager
Karyawan 10549;1000010549;Laki-laki;Bekasi;HR;Staff
Karyawan 10550;1000010550;Perempuan;Tangerang;Marketing;Manager
Karyawan 10551;1000010551;Perempuan;Depok;HR;Senior Manager
Karyawan 10552;1000010552;Perempuan;Depok;Operations;Supervisor
Karyawan 10553;1000010553;Perempuan;Bekasi;Marketing;Staff
Karyawan 10554;1000010554;Perempuan;Bekasi;IT;Senior Manager
Karyawan 10555;1000010555;Perempuan;Jakarta;HR;Manager
Karyawan 10556;1000010556;Perempuan;Depok;Operations;Director
Karyawan 10557;1000010557;Laki-laki;Bogor;Finance;Supervisor
Karyawan 10558;1000010558;Laki-laki;Bekasi;Finance;Staff
Karyawan 10559;1000010559;Laki-laki;Depok;IT;Senior Manager
Karyawan 10560;1000010560;Laki-laki;Bogor;IT;Manager
Karyawan 10561;1000010561;Perempuan;Depok;HR;Staff
Karyawan 10562;1000010562;Laki-laki;Bogor;Finance;Director
Karyawan 10563;1000010563;Laki-laki;Tangerang;Operations;Senior Manager
Karyawan 10564;1000010564;Perempuan;Bogor;Operations;Senior Manager
Karyawan 10565;1000010565;Perempuan;Jakarta;Marketing;Supervisor
Karyawan 10566;1000010566;Laki-laki;Tangerang;Operations;Senior Manager
Karyawan 10567;1000010567;Perempuan;Jakarta;Finance;Supervisor
Karyawan 10568;1000010568;Perempuan;Jakarta;IT;Supervisor
Karyawan 10569;1000010569;Laki-laki;Bogor;Marketing;Senior Manager
Karyawan 10570;1000010570;Perempuan;Bekasi;Operations;Senior Manager
Karyawan 10571;1000010571;Laki-laki;Bogor;IT;Supervisor
Karyawan 10572;1000010572;Perempuan;Tangerang;Marketing;Senior Manager
Karyawan 10573;1000010573;Laki-laki;Bekasi;Finance;Supervisor
Karyawan 10574;1000010574;Laki-laki;Jakarta;Marketing;Supervisor
Karyawan 10575;1000010575;Laki-laki;Jakarta;Operations;Director
Karyawan 10576;1000010576;Laki-laki;Tangerang;Finance;Staff
Karyawan 10577;1000010577;Perempuan;Tangerang;IT;Supervisor
Karyawan 10578;1000010578;Perempuan;Depok;Marketing;Staff
Karyawan 10579;1000010579;Perempuan;Depok;Operations;Senior Manager
Karyawan 10580;1000010580;Laki-laki;Jakarta;Operations;Director
Karyawan 10581;1000010581;Perempuan;Depok;Operations;Director
Karyawan 10582;1000010582;Laki-laki;Jakarta;HR;Director
Karyawan 10583;1000010583;Perempuan;Jakarta;IT;Director
Karyawan 10584;1000010584;Perempuan;Jakarta;IT;Manager
Karyawan 10585;1000010585;Perempuan;Depok;Marketing;Supervisor
Karyawan 10586;1000010586;Perempuan;Bekasi;Marketing;Staff
Karyawan 10587;1000010587;Perempuan;Bekasi;Marketing;Manager
Karyawan 10588;1000010588;Laki-laki;Tangerang;IT;Senior Manager
Karyawan 10589;1000010589;Perempuan;Bogor;IT;Manager
Karyawan 10590;1000010590;Perempuan;Bogor;Marketing;Staff
Karyawan 10591;1000010591;Laki-laki;Bekasi;Finance;Supervisor
Karyawan 10592;1000010592;Laki-laki;Tangerang;HR;Supervisor
Karyawan 10593;1000010593;Laki-laki;Bogor;HR;Staff
Karyawan 10594;1000010594;Laki-laki;Jakarta;Finance;Staff
Karyawan 10595;1000010595;Perempuan;Jakarta;Marketing;Director
Karyawan 10596;1000010596;Laki-laki;Tangerang;IT;Director
Karyawan 10597;1000010597;Laki-laki;Jakarta;Finance;Senior Manager
Karyawan 10598;1000010598;Laki-laki;Bogor;Marketing;Director
Karyawan 10599;1000010599;Laki-laki;Tangerang;Operations;Staff
Karyawan 10600;1000010600;Laki-laki;Depok;Marketing;Supervisor
Karyawan 10601;1000010601;Laki-laki;Bekasi;IT;Manager
Karyawan 10602;1000010602;Perempuan;Bekasi;Finance;Manager
Karyawan 10603;1000010603;Laki-laki;Depok;Marketing;Supervisor
Karyawan 10604;1000010604;Laki-laki;Depok;Finance;Supervisor
Karyawan 10605;1000010605;Perempuan;Bogor;Marketing;Senior Manager
Karyawan 10606;1000010606;Laki-laki;Depok;Marketing;Director
Karyawan 10607;1000010607;Perempuan;Tangerang;Operations;Manager
Karyawan 10608;1000010608;Laki-laki;Bogor;HR;Senior Manager
Karyawan 10609;1000010609;Laki-laki;Bekasi;IT;Manager
Karyawan 10610;1000010610;Perempuan;Bogor;HR;Senior Manager
Karyawan 10611;1000010611;Perempuan;Bekasi;Finance;Manager
Karyawan 10612;1000010612;Laki-laki;Depok;HR;Staff
Karyawan 10613;1000010613;Laki-laki;Depok;HR;Supervisor
Karyawan 10614;1000010614;Perempuan;Bekasi;Finance;Staff
Karyawan 10615;1000010615;Laki-laki;Depok;Finance;Senior Manager
Karyawan 10616;1000010616;Perempuan;Jakarta;IT;Director
Karyawan 10617;1000010617;Perempuan;Depok;Operations;Manager
Karyawan 10618;1000010618;Perempuan;Bogor;Marketing;Manager
Karyawan 10619;1000010619;Perempuan;Tangerang;Marketing;Staff
Karyawan 10620;1000010620;Laki-laki;Bogor;IT;Manager
Karyawan 10621;1000010621;Laki-laki;Tangerang;IT;Director
Karyawan 10622;1000010622;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 10623;1000010623;Perempuan;Bogor;IT;Manager
Karyawan 10624;1000010624;Perempuan;Jakarta;Operations;Supervisor
Karyawan 10625;1000010625;Perempuan;Tangerang;IT;Senior Manager
Karyawan 10626;1000010626;Perempuan;Jakarta;Marketing;Staff
Karyawan 10627;1000010627;Perempuan;Jakarta;IT;Director
Karyawan 10628;1000010628;Laki-laki;Depok;Marketing;Director
Karyawan 10629;1000010629;Laki-laki;Bogor;IT;Supervisor
Karyawan 10630;1000010630;Laki-laki;Depok;Marketing;Staff
Karyawan 10631;1000010631;Perempuan;Tangerang;Marketing;Manager
Karyawan 10632;1000010632;Laki-laki;Bekasi;Finance;Supervisor
Karyawan 10633;1000010633;Perempuan;Depok;Marketing;Senior Manager
Karyawan 10634;1000010634;Laki-laki;Bekasi;HR;Staff
Karyawan 10635;1000010635;Laki-laki;Bogor;HR;Manager
Karyawan 10636;1000010636;Laki-laki;Tangerang;HR;Staff
Karyawan 10637;1000010637;Laki-laki;Tangerang;HR;Supervisor
Karyawan 10638;1000010638;Perempuan;Bogor;Operations;Staff
Karyawan 10639;1000010639;Perempuan;Bogor;Marketing;Senior Manager
Karyawan 10640;1000010640;Laki-laki;Jakarta;IT;Senior Manager
Karyawan 10641;1000010641;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 10642;1000010642;Perempuan;Tangerang;IT;Manager
Karyawan 10643;1000010643;Laki-laki;Bekasi;Marketing;Director
Karyawan 10644;1000010644;Laki-laki;Bekasi;IT;Supervisor
Karyawan 10645;1000010645;Perempuan;Tangerang;Operations;Staff
Karyawan 10646;1000010646;Perempuan;Depok;Operations;Senior Manager
Karyawan 10647;1000010647;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 10648;1000010648;Perempuan;Jakarta;Operations;Staff
Karyawan 10649;1000010649;Perempuan;Bogor;Marketing;Senior Manager
Karyawan 10650;1000010650;Laki-laki;Tangerang;Marketing;Manager
Karyawan 10651;1000010651;Perempuan;Bogor;Operations;Supervisor
Karyawan 10652;1000010652;Laki-laki;Depok;HR;Manager
Karyawan 10653;1000010653;Perempuan;Tangerang;IT;Senior Manager
Karyawan 10654;1000010654;Laki-laki;Jakarta;Marketing;Staff
Karyawan 10655;1000010655;Laki-laki;Bekasi;Finance;Staff
Karyawan 10656;1000010656;Perempuan;Bekasi;Operations;Director
Karyawan 10657;1000010657;Laki-laki;Bogor;Operations;Senior Manager
Karyawan 10658;1000010658;Laki-laki;Jakarta;IT;Manager
Karyawan 10659;1000010659;Laki-laki;Tangerang;Operations;Supervisor
Karyawan 10660;1000010660;Perempuan;Tangerang;HR;Supervisor
Karyawan 10661;1000010661;Perempuan;Bekasi;IT;Manager
Karyawan 10662;1000010662;Laki-laki;Tangerang;IT;Senior Manager
Karyawan 10663;1000010663;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 10664;1000010664;Laki-laki;Bogor;HR;Supervisor
Karyawan 10665;1000010665;Laki-laki;Tangerang;Marketing;Director
Karyawan 10666;1000010666;Perempuan;Bekasi;IT;Supervisor
Karyawan 10667;1000010667;Perempuan;Tangerang;Marketing;Director
Karyawan 10668;1000010668;Laki-laki;Bekasi;Finance;Manager
Karyawan 10669;1000010669;Laki-laki;Bogor;Marketing;Manager
Karyawan 10670;1000010670;Perempuan;Depok;IT;Staff
Karyawan 10671;1000010671;Laki-laki;Bogor;Finance;Senior Manager
Karyawan 10672;1000010672;Perempuan;Jakarta;Finance;Director
Karyawan 10673;1000010673;Laki-laki;Tangerang;HR;Senior Manager
Karyawan 10674;1000010674;Perempuan;Bogor;Operations;Staff
Karyawan 10675;1000010675;Laki-laki;Tangerang;Operations;Manager
Karyawan 10676;1000010676;Laki-laki;Depok;Finance;Staff
Karyawan 10677;1000010677;Laki-laki;Bogor;Finance;Staff
Karyawan 10678;1000010678;Laki-laki;Bekasi;HR;Director
Karyawan 10679;1000010679;Perempuan;Tangerang;IT;Staff
Karyawan 10680;1000010680;Perempuan;Depok;Finance;Staff
Karyawan 10681;1000010681;Perempuan;Bogor;HR;Director
Karyawan 10682;1000010682;Perempuan;Depok;HR;Staff
Karyawan 10683;1000010683;Laki-laki;Bogor;IT;Supervisor
Karyawan 10684;1000010684;Laki-laki;Jakarta;Operations;Director
Karyawan 10685;1000010685;Laki-laki;Tangerang;Operations;Supervisor
Karyawan 10686;1000010686;Perempuan;Jakarta;Marketing;Staff
Karyawan 10687;1000010687;Laki-laki;Depok;HR;Director
Karyawan 10688;1000010688;Perempuan;Bogor;IT;Director
Karyawan 10689;1000010689;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 10690;1000010690;Perempuan;Tangerang;HR;Manager
Karyawan 10691;1000010691;Perempuan;Bekasi;Operations;Director
Karyawan 10692;1000010692;Perempuan;Bogor;IT;Supervisor
Karyawan 10693;1000010693;Perempuan;Bekasi;Finance;Director
Karyawan 10694;1000010694;Perempuan;Tangerang;Operations;Staff
Karyawan 10695;1000010695;Laki-laki;Bogor;Marketing;Director
Karyawan 10696;1000010696;Laki-laki;Tangerang;HR;Director
Karyawan 10697;1000010697;Perempuan;Jakarta;IT;Senior Manager
Karyawan 10698;1000010698;Perempuan;Bogor;HR;Senior Manager
Karyawan 10699;1000010699;Perempuan;Tangerang;Marketing;Supervisor
Karyawan 10700;1000010700;Laki-laki;Jakarta;Marketing;Supervisor
Karyawan 10701;1000010701;Perempuan;Bekasi;Marketing;Director
Karyawan 10702;1000010702;Perempuan;Bogor;Operations;Manager
Karyawan 10703;1000010703;Laki-laki;Jakarta;IT;Senior Manager
Karyawan 10704;1000010704;Perempuan;Depok;Marketing;Senior Manager
Karyawan 10705;1000010705;Laki-laki;Bekasi;Finance;Director
Karyawan 10706;1000010706;Perempuan;Bekasi;Operations;Manager
Karyawan 10707;1000010707;Laki-laki;Jakarta;HR;Manager
Karyawan 10708;1000010708;Laki-laki;Tangerang;Marketing;Supervisor
Karyawan 10709;1000010709;Perempuan;Bogor;Marketing;Manager
Karyawan 10710;1000010710;Laki-laki;Tangerang;IT;Director
Karyawan 10711;1000010711;Laki-laki;Depok;HR;Staff
Karyawan 10712;1000010712;Laki-laki;Tangerang;IT;Director
Karyawan 10713;1000010713;Perempuan;Bekasi;Finance;Staff
Karyawan 10714;1000010714;Laki-laki;Bogor;Finance;Director
Karyawan 10715;1000010715;Perempuan;Jakarta;Operations;Staff
Karyawan 10716;1000010716;Laki-laki;Bogor;Operations;Staff
Karyawan 10717;1000010717;Laki-laki;Jakarta;IT;Senior Manager
Karyawan 10718;1000010718;Laki-laki;Jakarta;HR;Manager
Karyawan 10719;1000010719;Perempuan;Jakarta;HR;Manager
Karyawan 10720;1000010720;Perempuan;Depok;Marketing;Staff
Karyawan 10721;1000010721;Laki-laki;Bekasi;IT;Supervisor
Karyawan 10722;1000010722;Perempuan;Bekasi;Finance;Supervisor
Karyawan 10723;1000010723;Perempuan;Bogor;HR;Senior Manager
Karyawan 10724;1000010724;Laki-laki;Bogor;Finance;Senior Manager
Karyawan 10725;1000010725;Perempuan;Depok;Marketing;Manager
Karyawan 10726;1000010726;Perempuan;Bekasi;Operations;Senior Manager
Karyawan 10727;1000010727;Laki-laki;Jakarta;Operations;Supervisor
Karyawan 10728;1000010728;Laki-laki;Depok;Finance;Staff
Karyawan 10729;1000010729;Perempuan;Tangerang;Marketing;Supervisor
Karyawan 10730;1000010730;Laki-laki;Bekasi;Operations;Senior Manager
Karyawan 10731;1000010731;Laki-laki;Depok;Operations;Manager
Karyawan 10732;1000010732;Laki-laki;Depok;Operations;Director
Karyawan 10733;1000010733;Perempuan;Jakarta;Finance;Manager
Karyawan 10734;1000010734;Laki-laki;Depok;Operations;Manager
Karyawan 10735;1000010735;Laki-laki;Depok;HR;Supervisor
Karyawan 10736;1000010736;Perempuan;Tangerang;HR;Manager
Karyawan 10737;1000010737;Perempuan;Jakarta;IT;Senior Manager
Karyawan 10738;1000010738;Laki-laki;Bogor;HR;Staff
Karyawan 10739;1000010739;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 10740;1000010740;Laki-laki;Bogor;Marketing;Supervisor
Karyawan 10741;1000010741;Laki-laki;Bekasi;HR;Manager
