No;Nama;NIK;Jenis Kelamin;Alamat;Divisi;Jabatan;
8491;Karyawan 8491;1000008491;Perempuan;Tangerang;Marketing;Manager;
8492;Karyawan 8492;1000008492;Laki-laki;Tangerang;Operations;Staff;
8493;Karyawan 8493;1000008493;Laki-laki;Depok;HR;Director;
8494;Karyawan 8494;1000008494;Perempuan;Jakarta;Operations;Senior Manager;
8495;Karyawan 8495;1000008495;Perempuan;Tangerang;HR;Manager;
8496;Karyawan 8496;1000008496;Laki-laki;Bekasi;Operations;Staff;
8497;Karyawan 8497;1000008497;Perempuan;Jakarta;HR;Manager;
8498;Karyawan 8498;1000008498;Laki-laki;Bekasi;Finance;Director;
8499;Karyawan 8499;1000008499;Laki-laki;Bogor;Finance;Staff;
8500;Karyawan 8500;1000008500;Laki-laki;Depok;IT;Staff;
8501;Karyawan 8501;1000008501;Laki-laki;Bekasi;Operations;Staff;
8502;Karyawan 8502;1000008502;Perempuan;Bekasi;Finance;Supervisor;
8503;Karyawan 8503;1000008503;Perempuan;Bogor;Finance;Staff;
8504;Karyawan 8504;1000008504;Perempuan;Jakarta;Finance;Supervisor;
8505;Karyawan 8505;1000008505;Perempuan;Bogor;IT;Director;
8506;Karyawan 8506;1000008506;Perempuan;Bogor;Marketing;Supervisor;
8507;Karyawan 8507;1000008507;Laki-laki;Depok;Finance;Director;
8508;Karyawan 8508;1000008508;Laki-laki;Bekasi;IT;Manager;
8509;Karyawan 8509;1000008509;Perempuan;Jakarta;IT;Supervisor;
8510;Karyawan 8510;1000008510;Perempuan;Bogor;Finance;Senior Manager;
8511;Karyawan 8511;1000008511;Laki-laki;Bogor;Operations;Senior Manager;
8512;Karyawan 8512;1000008512;Laki-laki;Bogor;Finance;Manager;
8513;Karyawan 8513;1000008513;Perempuan;Tangerang;Marketing;Supervisor;
8514;Karyawan 8514;1000008514;Laki-laki;Tangerang;HR;Supervisor;
8515;Karyawan 8515;1000008515;Laki-laki;Depok;Operations;Senior Manager;
8516;Karyawan 8516;1000008516;Perempuan;Bogor;Marketing;Manager;
8517;Karyawan 8517;1000008517;Laki-laki;Depok;Operations;Staff;
8518;Karyawan 8518;1000008518;Perempuan;Depok;Operations;Director;
8519;Karyawan 8519;1000008519;Laki-laki;Tangerang;Marketing;Supervisor;
8520;Karyawan 8520;1000008520;Laki-laki;Bekasi;Operations;Senior Manager;
8521;Karyawan 8521;1000008521;Perempuan;Bekasi;IT;Manager;
8522;Karyawan 8522;1000008522;Perempuan;Depok;HR;Staff;
8523;Karyawan 8523;1000008523;Perempuan;Tangerang;IT;Manager;
8524;Karyawan 8524;1000008524;Perempuan;Jakarta;Marketing;Manager;
8525;Karyawan 8525;1000008525;Laki-laki;Depok;IT;Supervisor;
8526;Karyawan 8526;1000008526;Laki-laki;Bogor;Operations;Staff;
8527;Karyawan 8527;1000008527;Perempuan;Depok;HR;Senior Manager;
8528;Karyawan 8528;1000008528;Laki-laki;Tangerang;Finance;Senior Manager;
8529;Karyawan 8529;1000008529;Perempuan;Bogor;Marketing;Director;
8530;Karyawan 8530;1000008530;Laki-laki;Jakarta;Marketing;Manager;
8531;Karyawan 8531;1000008531;Perempuan;Tangerang;HR;Staff;
8532;Karyawan 8532;1000008532;Perempuan;Jakarta;Finance;Manager;
8533;Karyawan 8533;1000008533;Perempuan;Tangerang;Operations;Manager;
8534;Karyawan 8534;1000008534;Laki-laki;Bogor;IT;Supervisor;
8535;Karyawan 8535;1000008535;Perempuan;Depok;IT;Manager;
8536;Karyawan 8536;1000008536;Perempuan;Jakarta;Finance;Staff;
8537;Karyawan 8537;1000008537;Perempuan;Depok;HR;Manager;
8538;Karyawan 8538;1000008538;Laki-laki;Jakarta;HR;Supervisor;
8539;Karyawan 8539;1000008539;Perempuan;Bogor;Operations;Manager;
8540;Karyawan 8540;1000008540;Perempuan;Jakarta;IT;Staff;
8541;Karyawan 8541;1000008541;Laki-laki;Depok;IT;Director;
8542;Karyawan 8542;1000008542;Laki-laki;Bekasi;HR;Staff;
8543;Karyawan 8543;1000008543;Perempuan;Bogor;Marketing;Staff;
8544;Karyawan 8544;1000008544;Laki-laki;Tangerang;Operations;Director;
8545;Karyawan 8545;1000008545;Laki-laki;Bogor;Operations;Manager;
8546;Karyawan 8546;1000008546;Laki-laki;Jakarta;Finance;Manager;
8547;Karyawan 8547;1000008547;Laki-laki;Depok;Marketing;Supervisor;
8548;Karyawan 8548;1000008548;Laki-laki;Tangerang;HR;Senior Manager;
8549;Karyawan 8549;1000008549;Laki-laki;Jakarta;Operations;Senior Manager;
8550;Karyawan 8550;1000008550;Perempuan;Bekasi;Marketing;Manager;
8551;Karyawan 8551;1000008551;Laki-laki;Tangerang;HR;Supervisor;
8552;Karyawan 8552;1000008552;Perempuan;Depok;Finance;Manager;
8553;Karyawan 8553;1000008553;Laki-laki;Bekasi;HR;Director;
8554;Karyawan 8554;1000008554;Laki-laki;Bogor;Operations;Director;
8555;Karyawan 8555;1000008555;Laki-laki;Jakarta;Operations;Manager;
8556;Karyawan 8556;1000008556;Laki-laki;Bekasi;Marketing;Manager;
8557;Karyawan 8557;1000008557;Perempuan;Depok;HR;Manager;
8558;Karyawan 8558;1000008558;Laki-laki;Depok;HR;Staff;
8559;Karyawan 8559;1000008559;Perempuan;Tangerang;HR;Manager;
8560;Karyawan 8560;1000008560;Perempuan;Bekasi;Operations;Supervisor;
8561;Karyawan 8561;1000008561;Perempuan;Tangerang;Finance;Staff;
8562;Karyawan 8562;1000008562;Laki-laki;Bogor;HR;Senior Manager;
8563;Karyawan 8563;1000008563;Perempuan;Depok;Finance;Manager;
8564;Karyawan 8564;1000008564;Perempuan;Bekasi;Finance;Senior Manager;
8565;Karyawan 8565;1000008565;Perempuan;Bogor;IT;Staff;
8566;Karyawan 8566;1000008566;Laki-laki;Jakarta;Finance;Manager;
8567;Karyawan 8567;1000008567;Laki-laki;Bekasi;HR;Director;
8568;Karyawan 8568;1000008568;Laki-laki;Depok;Finance;Supervisor;
8569;Karyawan 8569;1000008569;Perempuan;Jakarta;Finance;Staff;
8570;Karyawan 8570;1000008570;Laki-laki;Jakarta;IT;Director;
8571;Karyawan 8571;1000008571;Perempuan;Bogor;IT;Manager;
8572;Karyawan 8572;1000008572;Laki-laki;Bogor;Finance;Staff;
8573;Karyawan 8573;1000008573;Laki-laki;Jakarta;HR;Staff;
8574;Karyawan 8574;1000008574;Laki-laki;Depok;Operations;Manager;
8575;Karyawan 8575;1000008575;Laki-laki;Tangerang;HR;Manager;
8576;Karyawan 8576;1000008576;Perempuan;Depok;Marketing;Director;
8577;Karyawan 8577;1000008577;Laki-laki;Bogor;HR;Staff;
8578;Karyawan 8578;1000008578;Perempuan;Depok;IT;Manager;
8579;Karyawan 8579;1000008579;Laki-laki;Depok;IT;Manager;
8580;Karyawan 8580;1000008580;Laki-laki;Bogor;Marketing;Supervisor;
8581;Karyawan 8581;1000008581;Perempuan;Bogor;Marketing;Director;
8582;Karyawan 8582;1000008582;Perempuan;Bogor;IT;Staff;
8583;Karyawan 8583;1000008583;Perempuan;Bekasi;Marketing;Senior Manager;
8584;Karyawan 8584;1000008584;Perempuan;Jakarta;HR;Manager;
8585;Karyawan 8585;1000008585;Perempuan;Depok;HR;Manager;
8586;Karyawan 8586;1000008586;Laki-laki;Bekasi;IT;Senior Manager;
8587;Karyawan 8587;1000008587;Laki-laki;Depok;Finance;Manager;
8588;Karyawan 8588;1000008588;Perempuan;Jakarta;HR;Manager;
8589;Karyawan 8589;1000008589;Perempuan;Bogor;IT;Staff;
8590;Karyawan 8590;1000008590;Perempuan;Bogor;Marketing;Supervisor;
8591;Karyawan 8591;1000008591;Laki-laki;Bekasi;Marketing;Director;
8592;Karyawan 8592;1000008592;Perempuan;Tangerang;Finance;Senior Manager;
8593;Karyawan 8593;1000008593;Laki-laki;Tangerang;HR;Senior Manager;
8594;Karyawan 8594;1000008594;Perempuan;Bogor;HR;Director;
8595;Karyawan 8595;1000008595;Perempuan;Jakarta;IT;Manager;
8596;Karyawan 8596;1000008596;Laki-laki;Jakarta;Marketing;Senior Manager;
8597;Karyawan 8597;1000008597;Perempuan;Depok;IT;Manager;
8598;Karyawan 8598;1000008598;Laki-laki;Bekasi;Marketing;Supervisor;
8599;Karyawan 8599;1000008599;Perempuan;Bogor;Operations;Manager;
8600;Karyawan 8600;1000008600;Perempuan;Bogor;Operations;Manager;
8601;Karyawan 8601;1000008601;Perempuan;Jakarta;Operations;Director;
8602;Karyawan 8602;1000008602;Perempuan;Jakarta;HR;Senior Manager;
8603;Karyawan 8603;1000008603;Laki-laki;Bekasi;Finance;Staff;
8604;Karyawan 8604;1000008604;Perempuan;Tangerang;Operations;Director;
8605;Karyawan 8605;1000008605;Laki-laki;Jakarta;Marketing;Supervisor;
8606;Karyawan 8606;1000008606;Laki-laki;Jakarta;Finance;Manager;
8607;Karyawan 8607;1000008607;Perempuan;Tangerang;Finance;Manager;
8608;Karyawan 8608;1000008608;Laki-laki;Bogor;IT;Staff;
8609;Karyawan 8609;1000008609;Laki-laki;Bogor;Marketing;Manager;
8610;Karyawan 8610;1000008610;Laki-laki;Bogor;HR;Staff;
8611;Karyawan 8611;1000008611;Perempuan;Tangerang;HR;Staff;
8612;Karyawan 8612;1000008612;Laki-laki;Bogor;Finance;Manager;
8613;Karyawan 8613;1000008613;Perempuan;Jakarta;Operations;Staff;
8614;Karyawan 8614;1000008614;Perempuan;Tangerang;HR;Supervisor;
8615;Karyawan 8615;1000008615;Perempuan;Depok;Operations;Staff;
8616;Karyawan 8616;1000008616;Laki-laki;Jakarta;IT;Director;
8617;Karyawan 8617;1000008617;Laki-laki;Tangerang;Marketing;Director;
8618;Karyawan 8618;1000008618;Laki-laki;Bogor;IT;Senior Manager;
8619;Karyawan 8619;1000008619;Perempuan;Jakarta;Operations;Senior Manager;
8620;Karyawan 8620;1000008620;Laki-laki;Tangerang;Operations;Manager;
8621;Karyawan 8621;1000008621;Perempuan;Jakarta;Marketing;Director;
8622;Karyawan 8622;1000008622;Laki-laki;Tangerang;Marketing;Manager;
8623;Karyawan 8623;1000008623;Perempuan;Bogor;HR;Staff;
8624;Karyawan 8624;1000008624;Perempuan;Depok;HR;Manager;
8625;Karyawan 8625;1000008625;Perempuan;Jakarta;Finance;Staff;
8626;Karyawan 8626;1000008626;Perempuan;Bekasi;IT;Supervisor;
8627;Karyawan 8627;1000008627;Laki-laki;Tangerang;IT;Staff;
8628;Karyawan 8628;1000008628;Laki-laki;Tangerang;Operations;Supervisor;
8629;Karyawan 8629;1000008629;Laki-laki;Jakarta;HR;Supervisor;
8630;Karyawan 8630;1000008630;Perempuan;Bekasi;Operations;Senior Manager;
8631;Karyawan 8631;1000008631;Perempuan;Depok;IT;Director;
8632;Karyawan 8632;1000008632;Laki-laki;Bogor;IT;Supervisor;
8633;Karyawan 8633;1000008633;Perempuan;Depok;IT;Staff;
8634;Karyawan 8634;1000008634;Perempuan;Jakarta;Finance;Staff;
8635;Karyawan 8635;1000008635;Laki-laki;Depok;IT;Staff;
8636;Karyawan 8636;1000008636;Laki-laki;Depok;IT;Staff;
8637;Karyawan 8637;1000008637;Perempuan;Bogor;Operations;Supervisor;
8638;Karyawan 8638;1000008638;Perempuan;Jakarta;IT;Supervisor;
8639;Karyawan 8639;1000008639;Laki-laki;Depok;Operations;Supervisor;
8640;Karyawan 8640;1000008640;Perempuan;Tangerang;Finance;Supervisor;
8641;Karyawan 8641;1000008641;Perempuan;Tangerang;Finance;Manager;
8642;Karyawan 8642;1000008642;Perempuan;Depok;Marketing;Staff;
8643;Karyawan 8643;1000008643;Laki-laki;Jakarta;HR;Staff;
8644;Karyawan 8644;1000008644;Perempuan;Depok;HR;Senior Manager;
8645;Karyawan 8645;1000008645;Laki-laki;Bogor;Marketing;Manager;
8646;Karyawan 8646;1000008646;Perempuan;Bekasi;HR;Senior Manager;
8647;Karyawan 8647;1000008647;Perempuan;Tangerang;Operations;Manager;
8648;Karyawan 8648;1000008648;Perempuan;Depok;Finance;Senior Manager;
8649;Karyawan 8649;1000008649;Perempuan;Tangerang;HR;Senior Manager;
8650;Karyawan 8650;1000008650;Laki-laki;Jakarta;Marketing;Director;
8651;Karyawan 8651;1000008651;Perempuan;Tangerang;Marketing;Manager;
8652;Karyawan 8652;1000008652;Perempuan;Bekasi;IT;Senior Manager;
8653;Karyawan 8653;1000008653;Perempuan;Jakarta;Finance;Manager;
8654;Karyawan 8654;1000008654;Laki-laki;Tangerang;Operations;Director;
8655;Karyawan 8655;1000008655;Laki-laki;Tangerang;Finance;Director;
8656;Karyawan 8656;1000008656;Laki-laki;Depok;Operations;Manager;
8657;Karyawan 8657;1000008657;Laki-laki;Bogor;Finance;Director;
8658;Karyawan 8658;1000008658;Laki-laki;Jakarta;Operations;Staff;
8659;Karyawan 8659;1000008659;Laki-laki;Bogor;HR;Director;
8660;Karyawan 8660;1000008660;Perempuan;Depok;IT;Director;
8661;Karyawan 8661;1000008661;Laki-laki;Bekasi;IT;Manager;
8662;Karyawan 8662;1000008662;Laki-laki;Bogor;HR;Manager;
8663;Karyawan 8663;1000008663;Perempuan;Jakarta;Marketing;Director;
8664;Karyawan 8664;1000008664;Laki-laki;Bekasi;Marketing;Supervisor;
8665;Karyawan 8665;1000008665;Laki-laki;Bekasi;Finance;Staff;
8666;Karyawan 8666;1000008666;Perempuan;Jakarta;Marketing;Senior Manager;
8667;Karyawan 8667;1000008667;Perempuan;Tangerang;Operations;Senior Manager;
8668;Karyawan 8668;1000008668;Laki-laki;Bekasi;Finance;Supervisor;
8669;Karyawan 8669;1000008669;Laki-laki;Bogor;HR;Supervisor;
8670;Karyawan 8670;1000008670;Laki-laki;Bogor;Finance;Staff;
8671;Karyawan 8671;1000008671;Laki-laki;Bekasi;Operations;Staff;
8672;Karyawan 8672;1000008672;Perempuan;Bogor;Finance;Senior Manager;
8673;Karyawan 8673;1000008673;Laki-laki;Tangerang;Finance;Staff;
8674;Karyawan 8674;1000008674;Perempuan;Bogor;Marketing;Manager;
8675;Karyawan 8675;1000008675;Laki-laki;Bekasi;Marketing;Staff;
8676;Karyawan 8676;1000008676;Laki-laki;Depok;Finance;Staff;
8677;Karyawan 8677;1000008677;Perempuan;Bogor;Finance;Director;
8678;Karyawan 8678;1000008678;Perempuan;Bekasi;IT;Director;
8679;Karyawan 8679;1000008679;Laki-laki;Bekasi;Operations;Manager;
8680;Karyawan 8680;1000008680;Perempuan;Jakarta;HR;Senior Manager;
8681;Karyawan 8681;1000008681;Perempuan;Tangerang;HR;Supervisor;
8682;Karyawan 8682;1000008682;Perempuan;Bekasi;Finance;Staff;
8683;Karyawan 8683;1000008683;Laki-laki;Depok;Marketing;Director;
8684;Karyawan 8684;1000008684;Laki-laki;Bogor;Operations;Staff;
8685;Karyawan 8685;1000008685;Perempuan;Bekasi;Finance;Supervisor;
8686;Karyawan 8686;1000008686;Laki-laki;Bekasi;IT;Staff;
8687;Karyawan 8687;1000008687;Perempuan;Jakarta;Marketing;Senior Manager;
8688;Karyawan 8688;1000008688;Laki-laki;Jakarta;Finance;Director;
8689;Karyawan 8689;1000008689;Perempuan;Jakarta;Marketing;Senior Manager;
8690;Karyawan 8690;1000008690;Laki-laki;Tangerang;HR;Staff;
8691;Karyawan 8691;1000008691;Laki-laki;Bekasi;Finance;Staff;
8692;Karyawan 8692;1000008692;Laki-laki;Bogor;IT;Staff;
8693;Karyawan 8693;1000008693;Perempuan;Tangerang;IT;Staff;
8694;Karyawan 8694;1000008694;Laki-laki;Jakarta;IT;Supervisor;
8695;Karyawan 8695;1000008695;Laki-laki;Jakarta;Marketing;Supervisor;
8696;Karyawan 8696;1000008696;Laki-laki;Jakarta;IT;Senior Manager;
8697;Karyawan 8697;1000008697;Perempuan;Depok;Marketing;Director;
8698;Karyawan 8698;1000008698;Perempuan;Tangerang;IT;Staff;
8699;Karyawan 8699;1000008699;Laki-laki;Bekasi;Operations;Senior Manager;
8700;Karyawan 8700;1000008700;Perempuan;Tangerang;HR;Senior Manager;
8701;Karyawan 8701;1000008701;Laki-laki;Bekasi;Operations;Manager;
8702;Karyawan 8702;1000008702;Laki-laki;Jakarta;Operations;Manager;
8703;Karyawan 8703;1000008703;Perempuan;Bogor;Finance;Manager;
8704;Karyawan 8704;1000008704;Laki-laki;Jakarta;Operations;Staff;
8705;Karyawan 8705;1000008705;Perempuan;Depok;Finance;Supervisor;
8706;Karyawan 8706;1000008706;Perempuan;Bogor;IT;Senior Manager;
8707;Karyawan 8707;1000008707;Laki-laki;Depok;Finance;Director;
8708;Karyawan 8708;1000008708;Laki-laki;Bogor;Marketing;Director;
8709;Karyawan 8709;1000008709;Laki-laki;Bekasi;Finance;Director;
8710;Karyawan 8710;1000008710;Laki-laki;Tangerang;Marketing;Supervisor;
8711;Karyawan 8711;1000008711;Laki-laki;Bekasi;Marketing;Staff;
8712;Karyawan 8712;1000008712;Laki-laki;Depok;HR;Staff;
8713;Karyawan 8713;1000008713;Perempuan;Bogor;Finance;Senior Manager;
8714;Karyawan 8714;1000008714;Perempuan;Jakarta;Operations;Staff;
8715;Karyawan 8715;1000008715;Laki-laki;Tangerang;IT;Staff;
8716;Karyawan 8716;1000008716;Laki-laki;Tangerang;HR;Staff;
8717;Karyawan 8717;1000008717;Perempuan;Depok;Finance;Senior Manager;
8718;Karyawan 8718;1000008718;Laki-laki;Bogor;Operations;Senior Manager;
8719;Karyawan 8719;1000008719;Perempuan;Depok;Operations;Senior Manager;
8720;Karyawan 8720;1000008720;Laki-laki;Jakarta;Finance;Supervisor;
8721;Karyawan 8721;1000008721;Laki-laki;Bogor;HR;Director;
8722;Karyawan 8722;1000008722;Perempuan;Tangerang;Operations;Manager;
8723;Karyawan 8723;1000008723;Perempuan;Jakarta;Marketing;Director;
8724;Karyawan 8724;1000008724;Perempuan;Bogor;Operations;Manager;
8725;Karyawan 8725;1000008725;Perempuan;Bekasi;HR;Staff;
8726;Karyawan 8726;1000008726;Perempuan;Depok;Operations;Supervisor;
8727;Karyawan 8727;1000008727;Perempuan;Depok;Finance;Manager;
8728;Karyawan 8728;1000008728;Perempuan;Bekasi;Operations;Manager;
8729;Karyawan 8729;1000008729;Perempuan;Bogor;Marketing;Staff;
8730;Karyawan 8730;1000008730;Perempuan;Tangerang;Finance;Staff;
8731;Karyawan 8731;1000008731;Laki-laki;Bekasi;Marketing;Director;
8732;Karyawan 8732;1000008732;Perempuan;Bekasi;Marketing;Manager;
8733;Karyawan 8733;1000008733;Perempuan;Depok;IT;Manager;
8734;Karyawan 8734;1000008734;Perempuan;Jakarta;Marketing;Director;
8735;Karyawan 8735;1000008735;Perempuan;Jakarta;Marketing;Director;
8736;Karyawan 8736;1000008736;Perempuan;Tangerang;Operations;Director;
8737;Karyawan 8737;1000008737;Perempuan;Depok;Marketing;Supervisor;
8738;Karyawan 8738;1000008738;Perempuan;Bogor;IT;Director;
8739;Karyawan 8739;1000008739;Laki-laki;Tangerang;Operations;Director;
8740;Karyawan 8740;1000008740;Perempuan;Bogor;Finance;Supervisor;
8741;Karyawan 8741;1000008741;Laki-laki;Bogor;Marketing;Supervisor;
8742;Karyawan 8742;1000008742;Laki-laki;Bogor;Operations;Staff;
8743;Karyawan 8743;1000008743;Laki-laki;Bogor;IT;Senior Manager;
8744;Karyawan 8744;1000008744;Laki-laki;Depok;Finance;Supervisor;
8745;Karyawan 8745;1000008745;Laki-laki;Bekasi;Marketing;Director;
8746;Karyawan 8746;1000008746;Laki-laki;Depok;HR;Supervisor;
8747;Karyawan 8747;1000008747;Laki-laki;Tangerang;Marketing;Manager;
8748;Karyawan 8748;1000008748;Perempuan;Bekasi;Marketing;Senior Manager;
8749;Karyawan 8749;1000008749;Perempuan;Jakarta;Operations;Staff;
8750;Karyawan 8750;1000008750;Perempuan;Depok;IT;Staff;
8751;Karyawan 8751;1000008751;Laki-laki;Bogor;Marketing;Supervisor;
8752;Karyawan 8752;1000008752;Perempuan;Bogor;IT;Supervisor;
8753;Karyawan 8753;1000008753;Perempuan;Bogor;HR;Staff;
8754;Karyawan 8754;1000008754;Laki-laki;Jakarta;HR;Staff;
8755;Karyawan 8755;1000008755;Laki-laki;Jakarta;HR;Senior Manager;
8756;Karyawan 8756;1000008756;Laki-laki;Bekasi;Operations;Director;
8757;Karyawan 8757;1000008757;Laki-laki;Jakarta;Operations;Supervisor;
8758;Karyawan 8758;1000008758;Laki-laki;Bekasi;Operations;Manager;
8759;Karyawan 8759;1000008759;Perempuan;Tangerang;Operations;Manager;
8760;Karyawan 8760;1000008760;Laki-laki;Bekasi;IT;Senior Manager;
8761;Karyawan 8761;1000008761;Laki-laki;Bekasi;IT;Supervisor;
8762;Karyawan 8762;1000008762;Perempuan;Bekasi;IT;Senior Manager;
8763;Karyawan 8763;1000008763;Perempuan;Tangerang;Marketing;Director;
8764;Karyawan 8764;1000008764;Laki-laki;Depok;Marketing;Director;
8765;Karyawan 8765;1000008765;Perempuan;Jakarta;Finance;Manager;
8766;Karyawan 8766;1000008766;Perempuan;Depok;IT;Director;
8767;Karyawan 8767;1000008767;Laki-laki;Tangerang;IT;Staff;
8768;Karyawan 8768;1000008768;Perempuan;Depok;Finance;Staff;
8769;Karyawan 8769;1000008769;Perempuan;Bekasi;HR;Supervisor;
8770;Karyawan 8770;1000008770;Laki-laki;Bogor;Finance;Director;
8771;Karyawan 8771;1000008771;Perempuan;Depok;Marketing;Director;
8772;Karyawan 8772;1000008772;Laki-laki;Bogor;IT;Director;
8773;Karyawan 8773;1000008773;Laki-laki;Tangerang;IT;Supervisor;
8774;Karyawan 8774;1000008774;Laki-laki;Bekasi;Marketing;Senior Manager;
8775;Karyawan 8775;1000008775;Perempuan;Jakarta;Finance;Staff;
8776;Karyawan 8776;1000008776;Laki-laki;Tangerang;IT;Manager;
8777;Karyawan 8777;1000008777;Perempuan;Tangerang;Marketing;Supervisor;
8778;Karyawan 8778;1000008778;Perempuan;Jakarta;IT;Manager;
8779;Karyawan 8779;1000008779;Laki-laki;Tangerang;Finance;Manager;
8780;Karyawan 8780;1000008780;Perempuan;Bekasi;Finance;Supervisor;
8781;Karyawan 8781;1000008781;Laki-laki;Jakarta;Operations;Staff;
8782;Karyawan 8782;1000008782;Perempuan;Depok;Finance;Staff;
8783;Karyawan 8783;1000008783;Perempuan;Depok;Finance;Director;
8784;Karyawan 8784;1000008784;Perempuan;Jakarta;HR;Director;
8785;Karyawan 8785;1000008785;Perempuan;Bekasi;Operations;Staff;
8786;Karyawan 8786;1000008786;Perempuan;Bogor;HR;Senior Manager;
8787;Karyawan 8787;1000008787;Perempuan;Tangerang;Operations;Staff;
8788;Karyawan 8788;1000008788;Perempuan;Bekasi;Marketing;Staff;
8789;Karyawan 8789;1000008789;Laki-laki;Bogor;Marketing;Director;
8790;Karyawan 8790;1000008790;Laki-laki;Jakarta;IT;Senior Manager;
8791;Karyawan 8791;1000008791;Laki-laki;Bogor;IT;Director;
8792;Karyawan 8792;1000008792;Laki-laki;Bogor;Finance;Staff;
8793;Karyawan 8793;1000008793;Laki-laki;Jakarta;Marketing;Manager;
8794;Karyawan 8794;1000008794;Laki-laki;Tangerang;Marketing;Senior Manager;
8795;Karyawan 8795;1000008795;Perempuan;Bekasi;IT;Staff;
8796;Karyawan 8796;1000008796;Perempuan;Bekasi;Marketing;Senior Manager;
8797;Karyawan 8797;1000008797;Laki-laki;Jakarta;Marketing;Senior Manager;
8798;Karyawan 8798;1000008798;Laki-laki;Depok;Operations;Supervisor;
8799;Karyawan 8799;1000008799;Laki-laki;Jakarta;HR;Senior Manager;
8800;Karyawan 8800;1000008800;Laki-laki;Bekasi;Marketing;Supervisor;
8801;Karyawan 8801;1000008801;Perempuan;Jakarta;IT;Manager;
8802;Karyawan 8802;1000008802;Laki-laki;Bekasi;HR;Supervisor;
8803;Karyawan 8803;1000008803;Laki-laki;Tangerang;Marketing;Senior Manager;
8804;Karyawan 8804;1000008804;Laki-laki;Depok;HR;Senior Manager;
8805;Karyawan 8805;1000008805;Laki-laki;Bogor;Marketing;Director;
8806;Karyawan 8806;1000008806;Perempuan;Tangerang;Finance;Director;
8807;Karyawan 8807;1000008807;Perempuan;Bekasi;Operations;Staff;
8808;Karyawan 8808;1000008808;Laki-laki;Bogor;Operations;Senior Manager;
8809;Karyawan 8809;1000008809;Laki-laki;Bekasi;IT;Staff;
8810;Karyawan 8810;1000008810;Perempuan;Tangerang;IT;Manager;
8811;Karyawan 8811;1000008811;Perempuan;Depok;Operations;Manager;
8812;Karyawan 8812;1000008812;Perempuan;Tangerang;Operations;Manager;
8813;Karyawan 8813;1000008813;Laki-laki;Jakarta;HR;Supervisor;
8814;Karyawan 8814;1000008814;Perempuan;Bogor;Marketing;Director;
8815;Karyawan 8815;1000008815;Perempuan;Depok;Marketing;Senior Manager;
8816;Karyawan 8816;1000008816;Perempuan;Bekasi;HR;Director;
8817;Karyawan 8817;1000008817;Laki-laki;Tangerang;Marketing;Director;
8818;Karyawan 8818;1000008818;Perempuan;Bogor;Marketing;Staff;
8819;Karyawan 8819;1000008819;Perempuan;Tangerang;IT;Supervisor;
8820;Karyawan 8820;1000008820;Perempuan;Depok;Operations;Senior Manager;
8821;Karyawan 8821;1000008821;Laki-laki;Bekasi;Operations;Senior Manager;
8822;Karyawan 8822;1000008822;Perempuan;Bekasi;Marketing;Supervisor;
8823;Karyawan 8823;1000008823;Laki-laki;Tangerang;IT;Director;
8824;Karyawan 8824;1000008824;Perempuan;Depok;Operations;Supervisor;
8825;Karyawan 8825;1000008825;Perempuan;Bekasi;Marketing;Senior Manager;
8826;Karyawan 8826;1000008826;Perempuan;Depok;Marketing;Supervisor;
8827;Karyawan 8827;1000008827;Laki-laki;Tangerang;IT;Supervisor;
8828;Karyawan 8828;1000008828;Laki-laki;Depok;Marketing;Supervisor;
8829;Karyawan 8829;1000008829;Laki-laki;Tangerang;Operations;Supervisor;
8830;Karyawan 8830;1000008830;Perempuan;Bogor;Marketing;Director;
8831;Karyawan 8831;1000008831;Perempuan;Depok;Operations;Director;
8832;Karyawan 8832;1000008832;Laki-laki;Bekasi;Marketing;Supervisor;
8833;Karyawan 8833;1000008833;Perempuan;Bekasi;Finance;Director;
8834;Karyawan 8834;1000008834;Perempuan;Jakarta;HR;Director;
8835;Karyawan 8835;1000008835;Laki-laki;Bogor;Marketing;Manager;
8836;Karyawan 8836;1000008836;Laki-laki;Bogor;IT;Senior Manager;
8837;Karyawan 8837;1000008837;Perempuan;Bogor;Marketing;Senior Manager;
8838;Karyawan 8838;1000008838;Laki-laki;Jakarta;Marketing;Supervisor;
8839;Karyawan 8839;1000008839;Perempuan;Tangerang;IT;Supervisor;
8840;Karyawan 8840;1000008840;Laki-laki;Jakarta;Operations;Senior Manager;
8841;Karyawan 8841;1000008841;Laki-laki;Bogor;Finance;Staff;
8842;Karyawan 8842;1000008842;Laki-laki;Depok;HR;Supervisor;
8843;Karyawan 8843;1000008843;Laki-laki;Bekasi;IT;Senior Manager;
8844;Karyawan 8844;1000008844;Perempuan;Jakarta;Finance;Supervisor;
8845;Karyawan 8845;1000008845;Perempuan;Jakarta;HR;Manager;
8846;Karyawan 8846;1000008846;Laki-laki;Depok;Finance;Staff;
8847;Karyawan 8847;1000008847;Perempuan;Bogor;Finance;Staff;
8848;Karyawan 8848;1000008848;Laki-laki;Tangerang;HR;Manager;
8849;Karyawan 8849;1000008849;Laki-laki;Jakarta;HR;Supervisor;
8850;Karyawan 8850;1000008850;Perempuan;Bekasi;HR;Manager;
8851;Karyawan 8851;1000008851;Laki-laki;Depok;Operations;Director;
8852;Karyawan 8852;1000008852;Laki-laki;Depok;IT;Supervisor;
8853;Karyawan 8853;1000008853;Perempuan;Bogor;Operations;Manager;
